frame,object_id,prompt_class,iou,precision,recall,detected
000000,1,object_1,0.0,0.0,0.0,True
000000,2,object_2,0.0,0.0,0.0,True
000000,3,object_3,0.0,0.0,0.0,True
000000,4,object_4,0.0,0.0,0.0,True
000000,5,object_5,0.0,0.0,0.0,True
000000,6,object_6,0.0,0.0,0.0,True
000001,1,object_1,0.0,0.0,0.0,True
000001,2,object_2,0.0,0.0,0.0,True
000001,3,object_3,0.0,0.0,0.0,True
000001,4,object_4,0.0,0.0,0.0,True
000001,5,object_5,0.0,0.0,0.0,True
000001,6,object_6,0.0,0.0,0.0,True
000002,1,object_1,0.0,0.0,0.0,True
000002,2,object_2,0.0,0.0,0.0,True
000002,3,object_3,0.0,0.0,0.0,True
000002,4,object_4,0.0,0.0,0.0,True
000002,5,object_5,0.0,0.0,0.0,True
000002,6,object_6,0.0,0.0,0.0,True
000003,1,object_1,0.0,0.0,0.0,True
000003,2,object_2,0.0,0.0,0.0,True
000003,3,object_3,0.0,0.0,0.0,True
000003,4,object_4,0.0,0.0,0.0,True
000003,5,object_5,0.0,0.0,0.0,True
000003,6,object_6,0.0,0.0,0.0,True
000004,1,object_1,0.0,0.0,0.0,True
000004,2,object_2,0.0,0.0,0.0,True
000004,3,object_3,0.0,0.0,0.0,True
000004,4,object_4,0.0,0.0,0.0,True
000004,5,object_5,0.0,0.0,0.0,True
000004,6,object_6,0.0,0.0,0.0,True
000005,1,object_1,0.0,0.0,0.0,True
000005,2,object_2,0.0,0.0,0.0,True
000005,3,object_3,0.0,0.0,0.0,True
000005,4,object_4,0.0,0.0,0.0,True
000005,5,object_5,0.0,0.0,0.0,True
000005,6,object_6,0.0,0.0,0.0,True
000006,1,object_1,0.0,0.0,0.0,True
000006,2,object_2,0.0,0.0,0.0,True
000006,3,object_3,0.0,0.0,0.0,True
000006,4,object_4,0.0,0.0,0.0,True
000006,5,object_5,0.0,0.0,0.0,True
000006,6,object_6,0.0,0.0,0.0,True
000007,1,object_1,0.0,0.0,0.0,True
000007,2,object_2,0.0,0.0,0.0,True
000007,3,object_3,0.0,0.0,0.0,True
000007,4,object_4,0.0,0.0,0.0,True
000007,5,object_5,0.0,0.0,0.0,True
000007,6,object_6,0.0,0.0,0.0,True
000008,1,object_1,0.0,0.0,0.0,True
000008,2,object_2,0.0,0.0,0.0,True
000008,3,object_3,0.0,0.0,0.0,True
000008,4,object_4,0.0,0.0,0.0,True
000008,5,object_5,0.0,0.0,0.0,True
000008,6,object_6,0.0,0.0,0.0,True
000009,1,object_1,0.0,0.0,0.0,True
000009,2,object_2,0.0,0.0,0.0,True
000009,3,object_3,0.0,0.0,0.0,True
000009,4,object_4,0.0,0.0,0.0,True
000009,5,object_5,0.0,0.0,0.0,True
000009,6,object_6,0.0,0.0,0.0,True
000010,1,object_1,0.0,0.0,0.0,True
000010,2,object_2,0.0,0.0,0.0,True
000010,3,object_3,0.0,0.0,0.0,True
000010,4,object_4,0.0,0.0,0.0,True
000010,5,object_5,0.0,0.0,0.0,True
000010,6,object_6,0.0,0.0,0.0,True
000011,1,object_1,0.0,0.0,0.0,True
000011,2,object_2,0.0,0.0,0.0,True
000011,3,object_3,0.0,0.0,0.0,True
000011,4,object_4,0.0,0.0,0.0,True
000011,5,object_5,0.0,0.0,0.0,True
